road_segment,road_category,day_of_week,hour_of_day,current_speed,avg_speed_last_15min,avg_speed_last_30min,weather_condition,is_peak_hour,future_speedband
Bukit Timah Expressway,Y,4,0,46.2,44.0,53.1,Rain,0,6
Upper Thomson Road,B,1,1,41.6,48.4,42.6,Haze,0,4
Orchard Road,B,4,15,38.3,37.4,36.4,Drizzle,0,4
Bukit Timah Expressway,Y,1,1,68.7,70.4,73.1,Clouds,0,8
Nicoll Highway,B,3,10,53.1,52.0,46.5,Clear,0,6
Central Expressway,Y,6,11,75.0,73.8,72.3,Clouds,0,8
Upper Thomson Road,B,2,9,27.3,30.1,23.4,Mist,1,3
Seletar Expressway,Y,5,3,62.3,66.6,66.0,Drizzle,0,7
Clementi Avenue 3,C,3,1,36.7,38.6,29.4,Drizzle,0,4
Kallang Paya Lebar Expressway,Y,6,13,70.9,74.5,76.9,Haze,0,7
Central Expressway,Y,4,13,67.5,66.6,74.1,Clear,0,7
Central Expressway,Y,2,18,36.1,32.3,41.7,Haze,1,4
Kallang Paya Lebar Expressway,Y,3,17,36.4,36.2,36.1,Mist,1,4
Central Expressway,Y,5,3,71.0,73.5,79.5,Haze,0,8
Bedok North Avenue 3,C,2,21,34.7,36.0,37.0,Haze,0,4
Tampines Avenue 10,B,5,23,39.9,45.1,38.7,Mist,0,5
Clementi Avenue 3,C,1,13,25.4,27.1,24.6,Rain,0,3
East Coast Parkway,Y,0,21,66.6,65.9,75.1,Mist,0,8
Tampines Expressway,Y,5,5,54.6,56.4,55.5,Rain,0,6
Central Expressway,Y,0,12,58.9,55.5,62.7,Mist,0,6
Central Expressway,Y,4,1,37.4,41.1,28.3,Thunderstorm,0,5
Clementi Avenue 3,C,0,2,39.8,34.4,41.9,Clear,0,4
Seletar Expressway,Y,3,13,77.0,75.8,70.0,Clear,0,8
Pan Island Expressway,Y,0,8,46.9,47.3,54.5,Clear,1,5
Central Expressway,Y,3,9,48.0,46.8,45.2,Mist,1,5
Ayer Rajah Expressway,Y,6,1,62.2,64.3,49.8,Drizzle,0,7
Tampines Expressway,Y,2,17,14.2,17.0,15.4,Thunderstorm,1,2
Ayer Rajah Expressway,Y,4,4,52.4,48.3,53.5,Rain,0,6
Clementi Avenue 3,C,5,22,30.9,26.6,30.0,Drizzle,0,4
East Coast Parkway,Y,3,10,75.9,73.0,81.0,Clear,0,7
Ayer Rajah Expressway,Y,1,21,52.6,54.4,45.9,Rain,0,6
Orchard Road,B,5,10,39.6,44.5,46.8,Drizzle,0,5
Pan Island Expressway,Y,6,12,74.5,76.8,85.2,Clear,0,8
Clementi Avenue 3,C,5,14,19.6,18.0,23.8,Thunderstorm,0,2
Bukit Timah Expressway,Y,4,3,66.7,68.6,64.0,Mist,0,7
Seletar Expressway,Y,0,6,68.2,69.7,76.4,Drizzle,0,7
Upper Thomson Road,B,2,16,32.7,28.7,36.7,Rain,0,4
Orchard Road,B,4,2,33.9,29.6,29.8,Rain,0,3
Woodlands Avenue 12,B,5,5,38.0,40.1,47.1,Mist,0,4
Woodlands Avenue 12,B,0,4,26.9,30.0,31.9,Thunderstorm,0,3
Seletar Expressway,Y,1,9,6.9,12.1,8.4,Thunderstorm,1,1
Woodlands Avenue 12,B,5,2,21.3,20.7,22.0,Thunderstorm,0,2
Clementi Avenue 3,C,2,20,18.4,17.1,28.4,Rain,1,3
Upper Thomson Road,B,5,0,30.1,31.6,36.5,Thunderstorm,0,3
Clementi Avenue 3,C,5,9,40.0,39.9,34.7,Clouds,0,4
Seletar Expressway,Y,3,17,44.4,44.3,49.2,Haze,1,5
Woodlands Avenue 12,B,5,6,18.7,16.3,12.8,Thunderstorm,0,2
Kallang Paya Lebar Expressway,Y,0,8,32.4,35.4,33.8,Mist,1,3
Pan Island Expressway,Y,0,12,54.3,46.3,54.0,Rain,0,7
Tampines Expressway,Y,4,14,80.0,80.7,76.2,Clear,0,8
Kallang Paya Lebar Expressway,Y,5,17,48.0,46.9,53.0,Rain,0,5
Woodlands Avenue 12,B,0,21,38.5,41.1,31.9,Haze,0,4
Upper Thomson Road,B,0,18,26.5,26.9,34.0,Haze,1,3
Ayer Rajah Expressway,Y,6,12,47.8,45.5,52.9,Thunderstorm,0,5
Central Expressway,Y,3,21,46.5,47.1,50.3,Thunderstorm,0,5
Clementi Avenue 3,C,1,6,39.1,38.2,39.2,Haze,0,5
Ayer Rajah Expressway,Y,3,6,73.3,72.9,73.4,Haze,0,8
Ayer Rajah Expressway,Y,2,14,75.2,71.3,70.0,Clear,0,8
Tampines Expressway,Y,0,0,74.9,78.7,70.6,Clouds,0,8
Central Expressway,Y,2,0,69.7,68.0,70.8,Clouds,0,8
Tampines Expressway,Y,0,21,70.8,72.2,69.2,Clouds,0,7
Bedok North Avenue 3,C,1,2,36.5,35.9,38.4,Clear,0,3
Orchard Road,B,3,14,41.5,46.4,46.4,Haze,0,4
Clementi Avenue 3,C,4,20,19.8,16.0,26.0,Haze,1,2
Seletar Expressway,Y,0,7,44.3,42.6,38.6,Mist,1,4
Central Expressway,Y,5,12,62.8,60.6,61.6,Mist,0,6
Kallang Paya Lebar Expressway,Y,2,5,62.3,61.3,68.6,Mist,0,6
Clementi Avenue 3,C,4,2,30.9,36.2,40.6,Rain,0,4
Central Expressway,Y,6,20,52.6,52.9,50.1,Rain,0,6
Tampines Expressway,Y,2,6,72.6,76.9,73.4,Haze,0,8
East Coast Parkway,Y,1,8,29.6,33.4,29.8,Rain,1,3
Ayer Rajah Expressway,Y,6,22,78.0,79.1,76.8,Clear,0,8
East Coast Parkway,Y,1,3,69.8,74.5,68.9,Mist,0,8
East Coast Parkway,Y,2,1,60.0,59.2,60.2,Rain,0,6
Tampines Expressway,Y,2,23,72.7,74.6,83.3,Clouds,0,8
Pan Island Expressway,Y,6,17,51.2,52.2,50.9,Rain,0,5
Woodlands Avenue 12,B,0,13,45.0,49.5,37.5,Clear,0,5
Nicoll Highway,B,0,9,28.2,33.9,26.9,Clouds,1,4
Central Expressway,Y,3,22,71.9,72.0,65.0,Clear,0,8
Tampines Expressway,Y,0,12,39.4,44.7,39.8,Thunderstorm,0,4
Pan Island Expressway,Y,2,19,45.7,51.4,45.2,Haze,1,5
Pan Island Expressway,Y,5,20,71.3,74.2,65.6,Haze,0,8
Bedok North Avenue 3,C,2,2,36.9,37.9,37.9,Clouds,0,4
Central Expressway,Y,4,20,50.3,54.0,49.8,Clear,1,6
Ayer Rajah Expressway,Y,1,23,78.0,80.4,79.6,Clear,0,8
Seletar Expressway,Y,1,0,68.8,67.7,73.3,Clouds,0,8
Seletar Expressway,Y,4,16,42.4,44.4,43.1,Thunderstorm,0,6
Bedok North Avenue 3,C,2,19,4.6,2.0,2.0,Thunderstorm,1,1
Central Expressway,Y,0,1,75.0,74.0,83.6,Clear,0,8
Bukit Timah Expressway,Y,2,12,50.9,53.9,48.8,Rain,0,5
Clementi Avenue 3,C,2,3,34.8,36.2,45.9,Haze,0,4
Bedok North Avenue 3,C,0,8,23.5,21.8,24.0,Mist,1,3
Woodlands Avenue 12,B,4,0,40.2,34.4,32.9,Haze,0,4
Tampines Expressway,Y,0,22,64.3,67.5,67.3,Drizzle,0,7
Bedok North Avenue 3,C,2,10,27.3,26.4,25.8,Mist,0,4
Tampines Expressway,Y,3,23,40.6,39.9,39.0,Thunderstorm,0,4
Kallang Paya Lebar Expressway,Y,1,3,67.0,66.9,75.4,Clouds,0,6
Kallang Paya Lebar Expressway,Y,3,15,63.1,61.1,63.4,Mist,0,7
Pan Island Expressway,Y,2,0,64.8,66.2,62.5,Drizzle,0,7
East Coast Parkway,Y,3,2,59.3,57.2,65.6,Mist,0,7
Ayer Rajah Expressway,Y,2,1,59.6,54.8,62.0,Drizzle,0,6
Central Expressway,Y,1,0,41.0,43.5,42.4,Thunderstorm,0,4
Tampines Expressway,Y,1,9,48.5,46.7,45.9,Haze,1,5
Nicoll Highway,B,0,19,12.4,14.3,13.5,Thunderstorm,1,2
Bedok North Avenue 3,C,0,12,32.1,24.6,26.7,Haze,0,4
Central Expressway,Y,4,14,64.5,67.8,61.5,Drizzle,0,7
East Coast Parkway,Y,2,8,46.6,46.3,49.1,Mist,1,5
Woodlands Avenue 12,B,0,13,41.8,37.8,42.2,Clouds,0,5
Tampines Expressway,Y,5,12,64.8,64.1,62.0,Mist,0,7
Central Expressway,Y,5,12,72.9,67.9,77.0,Clear,0,8
Woodlands Avenue 12,B,2,11,40.8,40.2,46.2,Haze,0,4
Central Expressway,Y,5,11,59.0,58.2,56.9,Mist,0,7
East Coast Parkway,Y,2,23,38.5,33.6,48.5,Thunderstorm,0,4
Tampines Avenue 10,B,4,5,48.0,49.7,40.4,Clear,0,5
Kallang Paya Lebar Expressway,Y,2,3,58.4,62.9,67.5,Drizzle,0,6
Nicoll Highway,B,2,2,47.2,46.3,44.9,Haze,0,5
Clementi Avenue 3,C,3,16,30.0,27.0,30.0,Rain,0,3
Bedok North Avenue 3,C,5,16,29.5,30.1,25.6,Drizzle,0,3
Clementi Avenue 3,C,6,10,36.3,40.8,41.9,Haze,0,4
Tampines Avenue 10,B,1,3,47.7,53.2,39.1,Clouds,0,5
Tampines Avenue 10,B,5,16,34.6,40.0,39.6,Rain,0,4
Upper Thomson Road,B,3,17,27.8,29.4,29.4,Drizzle,1,3
Clementi Avenue 3,C,4,18,5.1,2.7,8.1,Thunderstorm,1,1
Bukit Timah Expressway,Y,0,7,36.8,39.5,34.9,Haze,1,4
Pan Island Expressway,Y,0,21,36.8,42.1,29.8,Thunderstorm,0,4
Tampines Expressway,Y,6,9,43.0,40.7,42.5,Thunderstorm,0,4
Clementi Avenue 3,C,2,2,38.7,37.6,33.2,Haze,0,4
East Coast Parkway,Y,2,8,51.9,53.0,48.3,Haze,1,6
Bukit Timah Expressway,Y,5,13,38.6,37.2,43.9,Thunderstorm,0,4
Clementi Avenue 3,C,6,4,32.0,34.3,30.0,Mist,0,4
Woodlands Avenue 12,B,6,15,34.2,32.6,33.9,Drizzle,0,4
Tampines Avenue 10,B,1,12,44.8,45.6,50.7,Haze,0,4
Seletar Expressway,Y,0,21,64.7,67.5,59.0,Mist,0,7
East Coast Parkway,Y,4,12,82.0,87.3,78.0,Clear,0,8
Bukit Timah Expressway,Y,3,0,58.7,49.5,65.1,Drizzle,0,7
Orchard Road,B,1,12,39.1,37.8,39.2,Clear,0,4
Tampines Expressway,Y,3,2,75.0,79.6,75.4,Clouds,0,8
Central Expressway,Y,0,4,35.8,39.1,35.3,Thunderstorm,0,5
Kallang Paya Lebar Expressway,Y,3,7,17.0,15.5,17.0,Rain,1,2
Tampines Expressway,Y,6,3,65.5,66.0,64.9,Mist,0,7
Seletar Expressway,Y,0,19,35.8,38.6,35.3,Drizzle,1,4
Upper Thomson Road,B,2,12,36.2,33.0,43.0,Drizzle,0,4
Tampines Avenue 10,B,1,20,21.3,21.5,32.9,Mist,1,3
Central Expressway,Y,6,7,68.7,68.0,66.6,Clouds,0,7
Upper Thomson Road,B,1,8,20.8,20.7,15.9,Rain,1,2
Tampines Avenue 10,B,2,1,46.1,46.4,47.0,Clouds,0,5
Clementi Avenue 3,C,0,12,20.8,18.3,10.7,Thunderstorm,0,2
Tampines Avenue 10,B,4,0,40.4,44.5,44.2,Drizzle,0,5
Nicoll Highway,B,3,7,30.5,29.5,33.6,Mist,1,3
Orchard Road,B,3,5,41.8,46.2,43.3,Clear,0,5
Tampines Avenue 10,B,3,17,31.1,27.6,29.7,Mist,1,4
Pan Island Expressway,Y,5,13,67.2,72.0,64.4,Haze,0,7
Woodlands Avenue 12,B,2,10,25.5,23.5,19.4,Thunderstorm,0,3
Bukit Timah Expressway,Y,3,0,53.5,52.6,48.3,Rain,0,6
Seletar Expressway,Y,6,23,69.6,67.3,73.1,Clear,0,7
East Coast Parkway,Y,0,9,54.6,53.4,52.6,Clear,1,6
Clementi Avenue 3,C,0,11,28.3,28.7,34.4,Rain,0,3
Central Expressway,Y,2,8,51.1,51.7,49.8,Drizzle,1,6
Bedok North Avenue 3,C,2,14,35.5,31.9,38.3,Clouds,0,4
Bedok North Avenue 3,C,6,17,14.6,20.7,12.5,Thunderstorm,0,2
Bukit Timah Expressway,Y,4,2,40.8,46.1,43.4,Thunderstorm,0,5
Tampines Avenue 10,B,4,8,33.1,33.2,38.4,Clouds,1,4
Woodlands Avenue 12,B,0,6,33.2,26.7,32.8,Rain,0,4
Nicoll Highway,B,6,14,48.5,41.7,51.4,Mist,0,5
Tampines Expressway,Y,2,21,49.2,51.8,53.5,Rain,0,5
Tampines Avenue 10,B,1,1,31.9,26.8,36.1,Rain,0,3
Seletar Expressway,Y,6,5,74.3,75.4,80.5,Clear,0,7
Ayer Rajah Expressway,Y,0,2,65.6,66.6,68.5,Mist,0,7
Tampines Expressway,Y,6,4,36.8,36.5,37.8,Thunderstorm,0,4
Upper Thomson Road,B,0,1,21.3,22.4,21.0,Thunderstorm,0,3
Seletar Expressway,Y,5,10,57.2,57.6,56.2,Rain,0,6
Central Expressway,Y,5,14,66.0,67.3,59.1,Drizzle,0,7
East Coast Parkway,Y,5,0,82.0,83.7,86.9,Clear,0,8
Ayer Rajah Expressway,Y,4,10,78.0,80.6,79.1,Clouds,0,8
Ayer Rajah Expressway,Y,6,11,44.4,45.4,44.5,Thunderstorm,0,5
Seletar Expressway,Y,5,12,62.9,62.7,61.2,Drizzle,0,7
Orchard Road,B,4,13,40.4,40.6,39.4,Haze,0,5
Orchard Road,B,5,18,29.4,31.5,24.9,Rain,0,3
Kallang Paya Lebar Expressway,Y,6,22,69.3,73.1,66.4,Haze,0,7
Pan Island Expressway,Y,6,22,77.2,77.4,74.6,Clear,0,8
Bukit Timah Expressway,Y,1,18,44.6,41.2,45.5,Clear,1,5
Central Expressway,Y,1,17,44.0,41.4,47.3,Clouds,1,5
Ayer Rajah Expressway,Y,5,12,56.6,58.2,51.9,Drizzle,0,7
Nicoll Highway,B,2,17,34.9,38.4,43.2,Mist,1,4
Clementi Avenue 3,C,1,2,28.1,21.1,22.5,Rain,0,3
Clementi Avenue 3,C,3,3,34.7,33.3,29.9,Haze,0,4
Bedok North Avenue 3,C,2,10,38.0,34.9,38.4,Clear,0,4
Nicoll Highway,B,5,3,29.8,31.6,39.1,Thunderstorm,0,4
Tampines Expressway,Y,0,14,60.2,58.4,71.0,Drizzle,0,6
Orchard Road,B,1,13,36.6,36.7,28.8,Rain,0,4
Woodlands Avenue 12,B,1,14,43.9,41.3,42.9,Mist,0,5
Pan Island Expressway,Y,3,6,58.2,58.4,59.0,Rain,0,6
Pan Island Expressway,Y,2,6,68.2,62.8,64.5,Mist,0,7
Clementi Avenue 3,C,6,7,33.3,33.3,27.2,Mist,0,4
Seletar Expressway,Y,6,12,57.4,59.9,64.0,Rain,0,7
Clementi Avenue 3,C,2,1,27.6,35.1,25.8,Rain,0,4
Upper Thomson Road,B,6,1,47.4,44.3,41.3,Clear,0,6
Clementi Avenue 3,C,5,9,35.7,34.7,38.4,Mist,0,4
Clementi Avenue 3,C,4,12,33.1,30.0,33.8,Haze,0,4
East Coast Parkway,Y,3,13,72.8,76.5,72.6,Haze,0,8
Orchard Road,B,4,7,13.7,15.5,6.8,Thunderstorm,1,2
East Coast Parkway,Y,6,21,67.7,66.9,67.4,Haze,0,7
Upper Thomson Road,B,0,21,25.7,26.3,18.7,Thunderstorm,0,3
Bedok North Avenue 3,C,3,21,30.4,30.4,33.3,Haze,0,4
Kallang Paya Lebar Expressway,Y,6,9,54.7,52.0,68.7,Rain,0,6
Bedok North Avenue 3,C,0,19,22.4,19.7,20.0,Mist,1,3
Pan Island Expressway,Y,0,23,70.3,66.5,71.4,Haze,0,7
Seletar Expressway,Y,5,21,63.6,62.6,62.8,Drizzle,0,7
Seletar Expressway,Y,3,16,61.7,55.1,67.1,Drizzle,0,7
Woodlands Avenue 12,B,2,1,37.7,34.4,37.2,Drizzle,0,5
Woodlands Avenue 12,B,4,13,34.1,30.8,37.9,Haze,0,3
Central Expressway,Y,5,21,73.3,73.1,75.1,Clear,0,8
Woodlands Avenue 12,B,6,16,34.9,33.7,39.1,Drizzle,0,4
East Coast Parkway,Y,6,18,70.4,74.1,73.6,Mist,0,7
Bukit Timah Expressway,Y,4,10,66.9,67.3,51.8,Clouds,0,7
Tampines Avenue 10,B,4,9,27.5,23.5,26.5,Haze,1,3
Seletar Expressway,Y,4,16,71.2,69.7,62.2,Haze,0,8
Upper Thomson Road,B,2,8,29.8,27.6,20.6,Drizzle,1,3
Tampines Expressway,Y,4,19,47.4,47.9,52.2,Drizzle,1,5
Pan Island Expressway,Y,5,12,61.3,62.4,63.5,Drizzle,0,7
Clementi Avenue 3,C,1,5,32.5,37.7,30.9,Drizzle,0,3
Kallang Paya Lebar Expressway,Y,3,20,59.3,60.3,52.8,Clouds,1,6
Bedok North Avenue 3,C,2,3,15.9,20.7,17.4,Thunderstorm,0,2
Orchard Road,B,0,10,39.3,41.3,43.1,Mist,0,4
East Coast Parkway,Y,4,13,70.6,68.8,66.6,Mist,0,7
Ayer Rajah Expressway,Y,4,20,51.4,53.1,38.4,Haze,1,6
Nicoll Highway,B,5,22,44.2,44.1,50.9,Drizzle,0,5
East Coast Parkway,Y,6,16,74.0,72.6,77.6,Haze,0,8
Kallang Paya Lebar Expressway,Y,2,20,53.5,52.2,53.3,Clouds,1,5
East Coast Parkway,Y,6,23,68.5,64.1,72.8,Drizzle,0,7
Nicoll Highway,B,5,9,55.0,54.9,54.6,Clouds,0,6
Woodlands Avenue 12,B,4,19,31.8,34.3,30.5,Clouds,1,4
Tampines Expressway,Y,6,0,71.8,71.8,73.3,Haze,0,7
Pan Island Expressway,Y,2,15,50.3,48.9,55.1,Rain,0,6
Orchard Road,B,4,4,36.3,38.9,29.6,Haze,0,4
Seletar Expressway,Y,2,16,71.8,66.1,56.8,Clear,0,7
Bedok North Avenue 3,C,2,6,32.9,31.7,33.1,Haze,0,4
Kallang Paya Lebar Expressway,Y,0,16,71.9,75.1,71.2,Clouds,0,7
Tampines Expressway,Y,2,5,76.2,74.4,76.3,Clouds,0,8
Tampines Expressway,Y,6,4,77.2,78.8,76.6,Clear,0,7
Kallang Paya Lebar Expressway,Y,6,2,53.4,51.0,54.6,Rain,0,6
Central Expressway,Y,5,17,61.1,64.6,58.6,Drizzle,0,7
Central Expressway,Y,3,21,50.9,49.7,59.7,Rain,0,5
Tampines Avenue 10,B,6,7,46.3,44.2,42.7,Haze,0,5
Seletar Expressway,Y,6,19,35.5,36.0,38.2,Thunderstorm,0,3
Bedok North Avenue 3,C,5,23,31.9,28.6,30.4,Haze,0,4
Nicoll Highway,B,6,13,45.2,43.9,45.1,Mist,0,5
Tampines Avenue 10,B,0,13,34.0,33.3,38.3,Drizzle,0,4
Pan Island Expressway,Y,0,14,78.0,78.6,67.8,Clouds,0,8
Tampines Avenue 10,B,0,9,30.3,24.5,31.0,Haze,1,3
Upper Thomson Road,B,5,16,42.4,38.1,43.6,Mist,0,5
Tampines Expressway,Y,6,17,45.3,42.0,58.1,Thunderstorm,0,5
Seletar Expressway,Y,1,3,35.0,34.3,29.4,Thunderstorm,0,5
Kallang Paya Lebar Expressway,Y,2,10,69.6,65.0,68.8,Haze,0,7
Nicoll Highway,B,4,22,50.9,48.2,58.1,Haze,0,5
Bukit Timah Expressway,Y,0,8,51.3,53.9,45.0,Clear,1,6
Woodlands Avenue 12,B,2,0,39.8,41.9,36.7,Clouds,0,3
Tampines Expressway,Y,3,17,41.7,44.7,42.5,Haze,1,5
Tampines Expressway,Y,4,15,67.2,65.9,77.5,Drizzle,0,8
Clementi Avenue 3,C,6,17,28.7,32.5,30.1,Drizzle,0,3
Kallang Paya Lebar Expressway,Y,4,20,52.2,55.2,55.1,Clear,1,6
Orchard Road,B,6,10,39.2,34.1,37.3,Mist,0,4
Bedok North Avenue 3,C,2,18,14.5,11.4,9.4,Drizzle,1,2
Bedok North Avenue 3,C,3,21,19.7,19.5,25.0,Thunderstorm,0,2
Pan Island Expressway,Y,3,9,61.0,62.6,56.9,Clear,1,7
Tampines Avenue 10,B,0,11,40.6,36.2,37.5,Haze,0,4
Tampines Expressway,Y,4,13,80.0,78.2,88.3,Clear,0,8
Ayer Rajah Expressway,Y,5,1,67.4,69.9,72.8,Drizzle,0,7
Seletar Expressway,Y,1,22,49.5,41.9,52.5,Rain,0,5
Tampines Avenue 10,B,6,20,43.4,43.8,46.3,Clouds,0,5
Bedok North Avenue 3,C,5,22,34.9,30.1,35.0,Clear,0,4
Bedok North Avenue 3,C,6,4,19.3,17.1,24.8,Thunderstorm,0,2
Bedok North Avenue 3,C,6,21,19.5,21.1,23.2,Thunderstorm,0,3
Kallang Paya Lebar Expressway,Y,2,7,40.9,44.7,33.8,Mist,1,5
Bedok North Avenue 3,C,6,4,32.5,33.5,35.9,Clouds,0,4
East Coast Parkway,Y,2,23,39.9,37.1,39.0,Thunderstorm,0,5
Ayer Rajah Expressway,Y,2,5,74.1,76.1,82.0,Clouds,0,8
Nicoll Highway,B,4,16,46.1,46.7,46.1,Haze,0,5
Tampines Avenue 10,B,1,9,21.2,20.1,21.9,Rain,1,2
Woodlands Avenue 12,B,4,9,21.7,27.8,15.1,Drizzle,1,3
Nicoll Highway,B,1,12,48.7,47.3,49.7,Haze,0,5
Nicoll Highway,B,4,14,52.1,47.0,52.8,Clouds,0,5
Clementi Avenue 3,C,0,23,30.2,27.9,37.7,Rain,0,3
Central Expressway,Y,5,19,65.9,68.6,67.0,Drizzle,0,7
Nicoll Highway,B,1,3,28.6,23.7,27.9,Thunderstorm,0,3
Bedok North Avenue 3,C,0,2,33.7,27.5,31.1,Haze,0,4
Ayer Rajah Expressway,Y,2,8,35.7,38.3,36.8,Haze,1,4
Bukit Timah Expressway,Y,0,3,64.9,69.0,62.9,Drizzle,0,7
Bukit Timah Expressway,Y,0,2,62.9,59.6,66.1,Drizzle,0,7
Upper Thomson Road,B,5,8,44.6,42.0,44.3,Mist,0,6
Nicoll Highway,B,5,17,44.1,40.5,43.1,Drizzle,0,5
Orchard Road,B,4,4,45.0,57.1,48.5,Clear,0,5
Kallang Paya Lebar Expressway,Y,5,9,36.0,41.3,42.2,Thunderstorm,0,4
Woodlands Avenue 12,B,4,11,40.7,43.8,28.6,Clouds,0,4
Nicoll Highway,B,2,7,36.9,35.5,39.6,Haze,1,4
Tampines Avenue 10,B,5,10,39.8,37.4,46.6,Drizzle,0,4
Nicoll Highway,B,0,13,25.0,24.4,18.5,Thunderstorm,0,3
Ayer Rajah Expressway,Y,1,16,68.4,72.9,71.2,Clouds,0,8
Seletar Expressway,Y,6,8,37.2,36.5,39.4,Thunderstorm,0,4
Clementi Avenue 3,C,2,21,33.7,30.6,32.7,Haze,0,3
Kallang Paya Lebar Expressway,Y,0,3,75.1,71.6,78.6,Haze,0,8
Nicoll Highway,B,2,18,34.6,32.5,31.0,Clear,1,4
East Coast Parkway,Y,3,13,42.8,42.2,52.0,Thunderstorm,0,5
Tampines Expressway,Y,5,7,75.6,80.9,70.3,Clear,0,8
Central Expressway,Y,0,10,39.0,42.3,35.8,Thunderstorm,0,4
Bedok North Avenue 3,C,6,19,28.8,30.3,24.7,Haze,0,4
Tampines Expressway,Y,2,17,47.5,47.5,46.7,Clouds,1,5
Tampines Expressway,Y,2,19,45.6,48.1,48.2,Clear,1,5
Bukit Timah Expressway,Y,4,23,38.7,40.4,31.9,Thunderstorm,0,4
Ayer Rajah Expressway,Y,1,0,73.8,73.3,72.3,Clear,0,8
Kallang Paya Lebar Expressway,Y,1,4,61.8,63.0,69.2,Haze,0,7
Central Expressway,Y,4,16,53.3,57.2,54.2,Rain,0,6
Bukit Timah Expressway,Y,3,1,70.3,72.0,66.6,Clouds,0,8
Orchard Road,B,2,20,7.9,8.0,9.2,Thunderstorm,1,2
Tampines Expressway,Y,1,19,28.1,36.4,31.2,Rain,1,4
Pan Island Expressway,Y,5,19,75.7,76.9,74.6,Clouds,0,8
Bukit Timah Expressway,Y,5,1,67.3,65.3,69.6,Haze,0,7
Bedok North Avenue 3,C,4,12,20.2,20.0,18.9,Thunderstorm,0,2
Tampines Avenue 10,B,6,14,43.5,39.3,46.1,Clouds,0,4
Tampines Expressway,Y,1,12,68.7,71.5,64.7,Drizzle,0,7
Woodlands Avenue 12,B,0,2,30.6,32.7,29.9,Rain,0,3
Pan Island Expressway,Y,1,16,63.3,64.0,59.4,Mist,0,7
Pan Island Expressway,Y,4,5,75.8,75.5,81.6,Mist,0,8
Tampines Expressway,Y,6,23,63.4,61.6,54.3,Drizzle,0,7
Seletar Expressway,Y,2,15,39.5,38.5,43.7,Thunderstorm,0,4
Bukit Timah Expressway,Y,6,20,63.6,69.9,64.1,Drizzle,0,7
Clementi Avenue 3,C,6,10,35.7,34.0,33.1,Haze,0,4
Kallang Paya Lebar Expressway,Y,1,12,70.7,70.2,75.3,Haze,0,7
Tampines Expressway,Y,2,0,50.9,55.3,47.0,Rain,0,6
Pan Island Expressway,Y,4,1,54.3,53.2,50.6,Rain,0,6
Upper Thomson Road,B,0,9,23.4,20.0,27.3,Drizzle,1,3
Woodlands Avenue 12,B,0,17,28.9,31.1,29.4,Clouds,1,3
Upper Thomson Road,B,6,15,47.1,44.4,50.4,Clear,0,5
Central Expressway,Y,4,16,67.9,66.8,69.1,Clouds,0,8
East Coast Parkway,Y,2,12,63.6,67.2,64.0,Rain,0,7
Pan Island Expressway,Y,1,0,61.2,57.9,66.1,Rain,0,7
Upper Thomson Road,B,0,5,27.8,30.1,34.8,Thunderstorm,0,4
East Coast Parkway,Y,2,4,66.3,67.8,64.9,Drizzle,0,7
Bedok North Avenue 3,C,2,22,34.3,34.7,27.6,Haze,0,4
Central Expressway,Y,0,8,39.1,40.8,41.1,Clear,1,4
Nicoll Highway,B,4,16,48.8,54.9,42.4,Mist,0,5
Kallang Paya Lebar Expressway,Y,5,6,69.3,73.1,68.7,Mist,0,7
Central Expressway,Y,4,11,65.0,67.1,62.9,Mist,0,7
Bukit Timah Expressway,Y,4,8,46.3,46.9,42.5,Clouds,1,5
Upper Thomson Road,B,3,3,41.9,40.9,36.0,Mist,0,5
Central Expressway,Y,6,0,45.2,45.2,45.7,Rain,0,5
Bedok North Avenue 3,C,4,8,27.1,26.1,26.8,Haze,1,4
Woodlands Avenue 12,B,0,6,37.5,38.1,38.0,Mist,0,4
Clementi Avenue 3,C,5,17,38.3,35.7,37.0,Clouds,0,5
Bukit Timah Expressway,Y,3,9,38.1,43.6,39.1,Mist,1,4
Ayer Rajah Expressway,Y,1,4,58.8,61.5,58.2,Drizzle,0,6
Central Expressway,Y,6,23,57.0,54.3,57.6,Mist,0,6
Central Expressway,Y,0,4,36.9,33.9,27.6,Thunderstorm,0,4
Orchard Road,B,0,6,34.0,34.9,29.1,Haze,0,3
Nicoll Highway,B,1,20,36.0,29.3,32.2,Haze,1,4
Tampines Expressway,Y,2,9,55.4,57.0,56.1,Clear,1,6
Tampines Avenue 10,B,0,18,31.4,28.1,40.4,Clear,1,3
Orchard Road,B,2,7,22.7,21.6,23.2,Haze,1,3
Tampines Avenue 10,B,5,17,26.9,30.8,26.0,Thunderstorm,0,4
Pan Island Expressway,Y,4,13,79.6,83.8,80.5,Clear,0,8
Woodlands Avenue 12,B,4,16,41.8,43.8,43.1,Clouds,0,4
Clementi Avenue 3,C,1,14,35.6,34.6,34.9,Mist,0,4
Seletar Expressway,Y,4,4,53.6,49.9,47.6,Rain,0,6
Woodlands Avenue 12,B,2,14,38.5,39.4,39.4,Mist,0,5
Tampines Avenue 10,B,1,20,24.8,23.6,25.0,Rain,1,3
Upper Thomson Road,B,2,11,47.6,47.0,33.3,Clouds,0,5
East Coast Parkway,Y,5,18,50.0,49.9,61.4,Thunderstorm,0,6
